Age,Gender,StudyHours,Attendance,AssignmentCompletion,ExamScore,SelfAssessment_Level
20,1,29,92,55,49,Moderate
18,1,23,88,86,45,High
23,1,23,88,84,93,High
25,1,23,88,91,91,High
29,1,23,88,81,96,High
25,1,14,89,88,51,High
19,1,14,89,74,65,Moderate
21,0,15,72,97,95,High
28,0,15,72,73,57,Moderate
20,0,15,72,99,73,High
23,0,15,72,70,86,Moderate
22,1,12,64,64,84,Moderate
23,1,12,64,54,88,Moderate
23,1,12,64,86,51,High
19,1,31,93,62,66,Moderate
18,1,31,93,89,94,High
23,1,31,93,62,66,Moderate
22,0,12,99,92,72,High
23,0,12,99,56,85,Moderate
20,0,23,80,54,47,Moderate
21,0,23,80,97,79,High
19,0,23,80,83,68,High
29,0,23,80,73,81,Moderate
21,0,16,60,58,77,Moderate
19,0,16,60,72,57,Moderate
25,0,16,60,99,46,High
27,0,20,63,99,60,High
21,0,20,63,98,50,High
26,0,20,63,83,68,High
25,0,15,98,87,64,High
18,0,15,98,58,67,Moderate
23,1,22,75,99,60,High
18,1,22,75,93,84,High
22,1,15,90,55,43,Moderate
28,1,15,90,81,96,High
24,0,17,84,85,94,High
27,0,17,84,84,68,High
18,0,17,84,88,65,High
22,0,17,84,54,90,Moderate
22,0,17,84,77,49,Moderate
18,0,25,85,69,70,Moderate
21,0,25,85,96,50,High
24,0,25,85,78,76,Moderate
20,0,23,86,81,85,High
19,1,14,85,58,56,Moderate
23,1,14,85,88,65,High
19,1,14,85,73,87,Moderate
25,1,21,82,78,46,Moderate
19,1,21,82,80,91,High
19,1,25,99,99,97,High
18,1,25,99,80,48,High
20,1,10,89,70,58,Moderate
27,1,10,89,82,57,High
21,1,10,89,62,94,Moderate
23,0,16,95,91,59,High
29,0,16,95,66,89,Moderate
18,1,23,69,69,80,Moderate
28,0,15,63,93,78,High
23,1,9,79,69,53,Moderate
19,1,9,79,91,58,High
24,1,9,79,81,66,High
23,0,10,81,64,82,Moderate
21,0,10,81,90,94,High
27,0,10,81,52,50,Moderate
29,0,10,81,93,61,High
19,1,20,93,65,54,Moderate
23,1,20,93,55,99,Moderate
23,1,20,93,65,56,Moderate
23,1,20,93,51,47,Moderate
19,1,22,78,95,60,High
27,1,22,78,58,73,Moderate
22,1,22,78,87,65,High
25,0,24,81,64,43,Moderate
20,0,24,81,97,83,High
27,1,10,62,97,51,High
20,1,10,62,60,68,Moderate
20,1,10,62,95,83,High
24,1,10,62,98,65,High
23,1,10,62,79,59,Moderate
25,1,20,85,52,53,Moderate
28,1,20,85,98,67,High
28,1,20,85,50,75,Moderate
20,1,20,85,97,81,High
22,1,20,85,54,41,Moderate
23,1,13,93,99,53,High
23,1,13,93,94,75,High
23,1,13,93,58,96,Moderate
29,1,13,93,89,41,High
21,0,20,84,83,66,High
26,1,15,84,59,95,Moderate
19,1,15,84,82,79,High
26,1,15,84,74,65,Moderate
22,1,15,84,54,69,Moderate
25,1,18,67,78,56,Moderate
19,1,18,67,76,100,Moderate
27,1,17,99,81,43,High
27,1,17,99,99,74,High
25,1,13,69,66,77,Moderate
19,1,13,69,91,75,High
25,1,13,69,62,55,Moderate
27,0,23,67,70,93,Moderate
23,1,29,87,69,59,Moderate
20,1,5,84,74,65,Moderate
21,0,19,96,72,54,Moderate
20,0,19,96,62,65,Moderate
24,0,19,96,66,72,Moderate
29,0,19,96,98,73,High
27,1,19,76,83,54,High
21,1,19,76,72,90,Moderate
19,0,27,95,63,91,Moderate
29,1,22,97,73,89,Moderate
20,1,22,97,79,77,Moderate
26,1,22,97,66,65,Moderate
27,1,22,72,50,87,Moderate
28,1,18,95,55,57,Moderate
29,1,18,95,53,99,Moderate
18,1,18,95,85,51,High
23,1,17,91,94,81,High
28,1,17,91,54,75,Moderate
22,0,22,71,59,61,Moderate
22,0,22,71,73,97,Moderate
28,0,22,71,51,57,Moderate
22,0,25,60,55,90,Moderate
23,1,27,74,58,98,Moderate
28,1,27,74,84,61,High
21,1,27,74,54,44,Moderate
28,0,18,73,63,78,Moderate
29,0,18,73,92,78,High
24,0,18,73,77,91,Moderate
23,1,8,86,68,69,Moderate
28,1,8,86,90,90,High
25,1,8,86,85,91,High
19,1,14,94,95,65,High
28,1,9,84,95,95,High
25,1,9,84,66,82,Moderate
24,1,25,82,95,48,High
25,1,25,82,61,94,Moderate
27,1,25,82,92,44,High
18,1,25,82,69,55,Moderate
26,0,7,86,76,40,Moderate
24,1,25,89,95,82,High
20,0,18,84,79,98,Moderate
23,0,18,84,60,82,Moderate
23,0,18,84,71,46,Moderate
23,0,18,84,98,47,High
25,0,24,71,85,81,High
28,0,34,63,78,67,Moderate
23,0,34,63,65,95,Moderate
25,1,17,73,88,54,High
28,1,17,73,94,51,High
29,1,15,89,54,64,Moderate
25,1,25,86,60,71,Moderate
18,1,25,86,51,51,Moderate
27,1,23,85,67,81,Moderate
24,1,23,85,90,74,High
21,1,23,85,85,97,High
21,1,23,85,88,55,High
28,0,26,60,50,96,Moderate
22,0,26,60,94,84,High
26,0,26,60,92,62,High
29,0,17,88,57,73,Moderate
21,0,17,88,65,74,Moderate
24,0,17,88,55,44,Moderate
29,1,14,98,78,43,Moderate
18,1,14,98,83,91,High
24,1,14,98,96,69,High
26,1,17,93,79,45,Moderate
19,1,17,93,74,83,Moderate
28,0,14,68,51,81,Moderate
24,0,14,68,81,98,High
23,0,14,68,62,84,Moderate
19,1,25,74,71,70,Moderate
26,1,25,74,65,44,Moderate
20,1,25,74,53,76,Moderate
21,1,25,74,75,49,Moderate
24,1,25,74,51,43,Moderate
23,1,25,74,57,72,Moderate
21,1,28,79,82,73,High
28,1,28,79,67,42,Moderate
18,1,28,79,94,52,High
18,1,28,79,83,69,High
22,0,31,81,64,52,Moderate
19,0,31,81,58,96,Moderate
22,0,31,81,89,90,High
20,0,31,81,63,69,Moderate
19,1,13,99,99,47,High
26,1,13,99,71,85,Moderate
29,1,13,99,52,77,Moderate
20,1,13,99,83,58,High
20,1,13,99,76,96,Moderate
20,1,13,99,92,58,High
20,1,13,99,73,71,Moderate
20,0,29,97,65,77,Moderate
23,0,29,97,62,66,Moderate
18,0,29,97,86,75,High
22,0,24,97,95,83,High
20,0,24,97,70,79,Moderate
20,0,24,97,52,42,Moderate
28,0,24,97,56,48,Moderate
29,0,24,97,68,90,Moderate
24,0,24,97,98,85,High
25,0,24,97,62,67,Moderate
19,0,20,81,64,63,Moderate
28,0,20,81,80,88,High
20,1,22,89,58,51,Moderate
27,1,22,89,73,58,Moderate
18,1,22,89,51,68,Moderate
23,1,22,89,72,88,Moderate
26,1,13,77,98,99,High
26,1,13,77,66,82,Moderate
18,0,35,85,60,76,Moderate
20,0,35,85,59,77,Moderate
28,0,35,85,66,61,Moderate
18,0,35,85,73,54,Moderate
21,0,35,85,96,97,High
26,0,35,85,73,65,Moderate
18,0,35,85,82,73,High
23,1,21,74,89,59,High
20,1,21,74,69,90,Moderate
19,1,21,74,91,68,High
26,0,24,83,98,80,High
27,1,23,80,68,55,Moderate
28,1,23,80,53,64,Moderate
29,1,23,80,77,79,Moderate
19,0,15,71,87,43,High
21,0,23,75,72,94,Moderate
25,0,23,75,89,82,High
27,1,31,63,91,91,High
24,1,28,62,50,51,Moderate
25,1,28,62,51,63,Moderate
18,0,30,70,59,89,Moderate
26,0,30,70,87,64,High
18,0,30,70,54,89,Moderate
27,0,30,70,62,80,Moderate
21,0,30,70,50,70,Moderate
28,0,17,63,95,43,High
23,0,17,63,72,42,Moderate
18,0,17,63,76,54,Moderate
23,0,17,63,73,79,Moderate
20,0,14,64,93,62,High
23,0,14,64,51,96,Moderate
27,1,19,93,52,91,Moderate
24,1,20,62,56,79,Moderate
20,1,20,62,81,64,High
27,1,20,62,61,83,Moderate
23,0,27,86,93,47,High
26,0,27,86,87,66,High
23,0,10,71,99,59,High
27,0,10,71,76,97,Moderate
27,1,19,79,70,40,Moderate
27,1,17,72,94,75,High
19,1,14,81,68,44,Moderate
22,1,14,81,54,42,Moderate
21,1,14,81,64,79,Moderate
24,0,10,75,61,40,Moderate
23,0,10,75,56,42,Moderate
26,0,10,75,80,98,High
19,0,25,83,90,41,High
29,1,12,77,77,81,Moderate
21,1,12,77,65,65,Moderate
25,1,18,74,89,81,High
22,0,30,88,84,69,High
24,0,30,88,62,50,Moderate
25,0,30,88,60,98,Moderate
24,0,30,88,94,81,High
26,0,30,88,73,57,Moderate
19,1,11,93,81,93,High
19,1,11,93,51,89,Moderate
19,1,19,78,87,56,High
28,1,20,94,84,50,High
21,0,19,89,78,47,Moderate
24,0,19,89,95,80,High
27,0,19,89,95,47,High
23,0,19,89,54,87,Moderate
20,1,27,73,63,45,Moderate
22,1,27,73,66,82,Moderate
18,1,18,99,90,68,High
20,1,18,99,68,77,Moderate
23,1,35,78,85,40,High
22,1,35,78,89,50,High
29,1,20,76,79,91,Moderate
22,1,20,76,59,55,Moderate
26,1,20,76,58,62,Moderate
21,0,20,83,56,67,Moderate
22,0,20,83,89,78,High
21,0,20,83,57,78,Moderate
18,1,21,98,83,79,High
29,1,21,98,78,82,Moderate
26,1,19,81,67,100,Moderate
24,1,19,81,99,70,High
24,0,17,93,52,82,Moderate
25,0,17,93,53,80,Moderate
18,0,17,93,58,78,Moderate
18,0,17,93,61,86,Moderate
29,1,17,82,71,61,Moderate
21,1,17,82,56,64,Moderate
24,1,17,82,65,46,Moderate
29,1,16,83,75,46,Moderate
21,1,16,83,61,95,Moderate
25,1,27,68,87,55,High
22,1,27,68,90,76,High
28,1,27,68,51,43,Moderate
20,1,27,97,69,97,Moderate
22,1,27,97,61,50,Moderate
24,1,27,97,79,100,Moderate
23,0,8,94,81,88,High
25,0,8,94,73,44,Moderate
24,1,18,91,65,56,Moderate
28,1,18,91,87,72,High
22,1,18,91,85,92,High
20,1,18,91,63,71,Moderate
20,0,18,76,83,97,High
28,0,18,76,62,52,Moderate
20,0,18,76,87,98,High
29,0,18,76,55,93,Moderate
25,0,12,80,97,86,High
20,0,12,80,90,66,High
20,1,15,79,92,45,High
19,1,15,79,93,81,High
27,1,15,79,76,80,Moderate
19,0,13,70,65,52,Moderate
20,0,13,70,87,75,High
28,0,13,70,55,86,Moderate
19,0,31,80,91,80,High
25,1,28,65,70,64,Moderate
26,0,13,90,94,81,High
19,0,23,81,56,59,Moderate
26,0,23,81,89,83,High
29,0,24,89,66,90,Moderate
26,0,24,89,98,62,High
28,0,23,68,61,93,Moderate
26,0,23,68,88,71,High
28,0,23,68,82,99,High
20,0,23,68,77,69,Moderate
28,1,27,79,85,57,High
19,0,24,73,54,44,Moderate
27,0,24,73,67,69,Moderate
19,1,22,76,91,85,High
23,1,22,76,88,49,High
25,1,12,99,55,84,Moderate
29,1,12,99,56,49,Moderate
21,1,12,99,83,99,High
25,1,26,69,84,92,High
18,1,26,69,82,81,High
20,1,26,69,90,93,High
21,0,19,84,91,49,High
27,0,19,84,98,66,High
20,0,17,77,58,48,Moderate
21,0,17,77,77,92,Moderate
18,0,17,77,88,63,High
29,0,17,77,77,48,Moderate
28,0,26,63,55,41,Moderate
29,1,16,80,86,72,High
26,1,12,72,54,68,Moderate
21,1,12,72,80,88,High
23,1,12,72,93,69,High
25,1,12,72,56,47,Moderate
27,1,12,72,90,57,High
22,1,30,75,98,57,High
18,1,19,92,92,96,High
22,1,19,92,62,88,Moderate
18,1,19,92,81,46,High
27,1,19,92,89,85,High
19,0,20,65,51,79,Moderate
22,0,20,65,87,95,High
21,0,21,66,61,92,Moderate
27,0,21,66,78,71,Moderate
27,0,18,69,89,72,High
28,0,18,69,81,79,High
26,0,18,69,65,64,Moderate
22,1,20,89,92,68,High
19,1,20,89,79,57,Moderate
21,1,20,89,81,99,High
29,1,20,89,55,41,Moderate
27,1,10,81,63,81,Moderate
18,0,12,82,74,66,Moderate
25,0,12,82,83,41,High
27,1,24,78,89,55,High
23,1,24,78,59,55,Moderate
23,1,24,78,66,98,Moderate
29,1,24,78,71,64,Moderate
25,1,21,73,81,90,High
25,1,21,73,89,87,High
23,1,20,84,59,77,Moderate
23,1,20,84,82,98,High
24,1,20,84,100,62,High
20,1,17,98,53,98,Moderate
20,1,17,98,77,84,Moderate
26,1,17,98,68,95,Moderate
28,1,17,98,75,99,Moderate
21,1,15,94,60,69,Moderate
20,0,21,96,81,55,High
26,1,14,79,63,68,Moderate
26,0,26,76,53,48,Moderate
29,0,26,76,84,40,High
28,0,26,76,77,73,Moderate
26,1,22,77,60,65,Moderate
27,1,22,77,68,96,Moderate
25,1,22,77,65,47,Moderate
28,1,26,84,67,75,Moderate
20,1,26,84,93,53,High
21,1,30,88,78,61,Moderate
28,1,30,88,58,76,Moderate
29,1,30,88,51,49,Moderate
27,1,26,98,53,78,Moderate
18,1,26,98,68,73,Moderate
19,1,26,98,72,86,Moderate
22,1,26,98,52,91,Moderate
18,1,16,81,73,50,Moderate
27,0,23,91,58,73,Moderate
22,0,16,82,65,69,Moderate
26,0,16,82,61,61,Moderate
18,0,16,82,58,85,Moderate
18,0,16,79,90,80,High
21,0,16,79,52,43,Moderate
24,0,16,79,100,78,High
21,0,16,79,70,83,Moderate
29,0,16,79,73,47,Moderate
29,0,12,85,93,97,High
23,0,12,85,91,73,High
24,0,12,85,56,76,Moderate
25,0,12,85,58,89,Moderate
27,1,14,76,88,56,High
20,1,14,76,76,60,Moderate
22,1,12,68,58,85,Moderate
29,1,12,68,58,68,Moderate
21,1,12,68,95,46,High
22,1,26,80,96,90,High
19,1,26,80,82,66,High
28,0,14,89,62,68,Moderate
21,0,14,89,70,68,Moderate
24,0,14,89,86,49,High
27,0,21,76,67,73,Moderate
23,0,24,82,92,86,High
21,0,24,82,55,42,Moderate
25,0,24,82,76,42,Moderate
27,0,24,82,59,40,Moderate
27,1,35,65,95,59,High
25,1,35,65,94,98,High
23,1,19,80,55,49,Moderate
23,1,19,80,69,91,Moderate
25,1,27,67,77,65,Moderate
23,1,27,67,80,85,High
27,1,27,67,95,83,High
28,1,16,65,58,46,Moderate
19,1,16,65,92,91,High
26,1,16,65,83,94,High
24,1,16,65,62,65,Moderate
20,0,31,76,53,55,Moderate
18,0,24,96,82,76,High
29,0,19,67,81,94,High
29,0,21,71,68,96,Moderate
24,0,21,71,78,56,Moderate
18,1,12,94,87,81,High
26,1,12,94,84,90,High
27,0,22,61,91,99,High
24,0,22,61,78,85,Moderate
24,0,22,61,97,90,High
27,0,22,61,63,74,Moderate
27,0,22,61,84,71,High
27,1,24,63,69,43,Moderate
27,1,24,63,52,95,Moderate
22,1,24,63,63,55,Moderate
25,0,23,71,86,41,High
26,0,23,71,63,70,Moderate
24,1,26,68,59,93,Moderate
26,1,26,68,81,65,High
20,1,26,68,84,77,High
19,1,25,69,88,43,High
26,1,25,69,62,61,Moderate
19,1,25,69,63,71,Moderate
20,0,23,92,82,81,High
22,0,23,92,92,58,High
25,0,23,92,70,82,Moderate
25,1,10,60,91,52,High
29,1,21,76,56,83,Moderate
18,1,21,76,74,42,Moderate
19,1,21,76,57,91,Moderate
25,0,12,87,79,61,Moderate
18,1,14,88,100,49,High
25,1,26,89,88,74,High
25,1,20,98,61,59,Moderate
18,1,20,98,77,62,Moderate
19,1,21,97,100,75,High
19,1,21,97,58,89,Moderate
22,1,17,92,93,77,High
24,1,17,92,58,88,Moderate
29,1,28,87,70,48,Moderate
28,0,19,98,84,84,High
22,0,19,98,91,76,High
29,0,19,98,51,51,Moderate
27,1,26,97,82,87,High
27,1,26,97,72,49,Moderate
19,1,26,97,98,52,High
20,1,26,97,99,86,High
20,0,11,63,54,45,Moderate
22,0,11,63,67,100,Moderate
22,0,11,63,57,78,Moderate
25,0,11,63,65,55,Moderate
19,0,20,92,72,46,Moderate
22,0,17,96,59,54,Moderate
21,1,28,98,62,53,Moderate
29,1,28,98,61,96,Moderate
19,1,28,98,79,79,Moderate
25,1,28,98,84,78,High
21,1,28,98,55,94,Moderate
21,1,28,98,64,71,Moderate
28,1,34,63,63,60,Moderate
28,1,18,76,68,88,Moderate
23,1,18,76,88,65,High
20,1,18,76,65,40,Moderate
28,0,17,61,62,69,Moderate
18,0,29,73,71,42,Moderate
27,1,17,96,100,68,High
23,1,17,96,55,95,Moderate
25,1,17,96,69,70,Moderate
22,1,17,96,82,44,High
18,1,14,84,84,80,High
22,1,20,96,67,66,Moderate
29,1,20,96,64,48,Moderate
26,1,29,76,71,44,Moderate
23,1,20,79,77,74,Moderate
25,1,20,79,90,81,High
23,0,24,65,88,95,High
28,0,13,97,88,99,High
25,0,13,97,100,73,High
19,0,13,97,56,87,Moderate
23,0,21,89,79,90,Moderate
18,0,21,89,51,54,Moderate
25,0,21,89,100,90,High
28,1,22,61,83,94,High
18,1,22,61,53,79,Moderate
20,1,22,61,78,91,Moderate
28,1,22,61,66,41,Moderate
20,1,35,64,56,43,Moderate
19,1,35,64,59,95,Moderate
24,1,16,88,99,69,High
19,1,27,88,79,56,Moderate
19,1,27,88,70,44,Moderate
26,0,29,80,100,44,High
23,1,23,78,67,84,Moderate
19,1,17,68,52,74,Moderate
27,1,17,68,69,45,Moderate
29,1,11,85,78,90,Moderate
29,1,11,85,60,44,Moderate
18,1,29,70,99,68,High
25,0,16,91,84,63,High
21,0,16,91,60,59,Moderate
25,0,16,91,92,56,High
27,0,16,91,100,57,High
27,0,16,91,57,55,Moderate
29,1,18,73,67,76,Moderate
29,1,18,73,53,64,Moderate
25,1,18,73,80,62,High
18,1,18,73,52,65,Moderate
27,1,22,70,66,83,Moderate
18,1,22,70,86,47,High
23,1,22,67,79,53,Moderate
18,1,22,67,62,56,Moderate
22,0,32,65,97,74,High
19,0,32,65,61,90,Moderate
29,1,12,87,98,73,High
23,1,12,87,59,83,Moderate
21,1,16,85,68,42,Moderate
25,1,16,85,100,42,High
25,1,16,85,72,74,Moderate
28,1,16,85,71,70,Moderate
21,0,31,62,56,45,Moderate
24,1,21,71,59,74,Moderate
24,1,21,71,92,97,High
25,1,35,72,92,85,High
20,1,35,72,71,54,Moderate
21,1,17,81,89,64,High
29,1,17,81,71,52,Moderate
20,1,17,87,63,48,Moderate
23,1,24,89,61,71,Moderate
19,1,31,73,87,97,High
18,1,24,72,67,64,Moderate
19,0,18,82,70,79,Moderate
25,0,18,82,75,42,Moderate
20,1,24,61,80,74,High
22,1,24,61,79,47,Moderate
28,1,24,61,92,90,High
18,0,27,63,85,56,High
19,0,26,89,67,74,Moderate
26,0,26,89,80,62,High
29,0,26,89,76,75,Moderate
19,1,27,64,53,41,Moderate
18,1,27,64,99,91,High
18,1,21,93,54,66,Moderate
26,1,21,93,95,53,High
26,0,15,69,66,46,Moderate
29,0,15,69,80,81,High
18,0,15,69,86,74,High
22,0,15,69,73,93,Moderate
26,0,15,69,65,46,Moderate
23,0,15,69,51,82,Moderate
28,1,18,82,75,75,Moderate
26,1,20,82,75,64,Moderate
19,1,28,83,76,86,Moderate
26,1,28,83,64,98,Moderate
27,1,12,95,91,54,High
25,1,12,95,90,60,High
28,1,24,92,78,49,Moderate
27,1,24,92,97,52,High
18,1,24,92,81,87,High
20,0,33,64,90,87,High
25,0,33,64,77,83,Moderate
24,1,18,71,63,63,Moderate
22,1,18,71,68,79,Moderate
20,0,19,90,100,72,High
19,0,19,90,58,76,Moderate
20,1,24,70,69,75,Moderate
27,1,17,67,79,68,Moderate
20,0,14,74,89,61,High
27,0,14,74,73,63,Moderate
26,0,16,75,81,75,High
18,0,16,75,54,88,Moderate
26,0,16,75,76,51,Moderate
26,0,27,82,93,79,High
29,0,27,82,61,68,Moderate
26,0,27,82,90,44,High
27,0,27,82,83,62,High
21,1,11,64,53,82,Moderate
19,1,11,64,83,69,High
20,1,11,64,97,82,High
18,0,29,86,79,71,Moderate
26,0,29,86,86,62,High
22,0,29,86,87,99,High
23,0,29,86,87,66,High
23,0,29,86,72,84,Moderate
20,0,29,86,84,45,High
21,1,31,95,61,44,Moderate
25,1,7,77,82,41,High
27,1,7,77,74,70,Moderate
23,1,23,67,69,93,Moderate
28,1,23,67,55,100,Moderate
22,1,23,67,85,90,High
28,0,17,98,80,92,High
25,0,17,98,76,84,Moderate
24,1,14,90,91,63,High
23,1,14,90,62,66,Moderate
29,0,24,78,50,52,Moderate
19,1,31,75,98,41,High
25,1,31,75,94,48,High
20,1,16,99,96,57,High
19,1,16,99,93,64,High
26,1,16,99,81,73,High
22,0,19,87,77,79,Moderate
20,0,19,87,88,94,High
26,1,22,82,89,44,High
25,1,22,82,59,91,Moderate
25,0,12,94,79,81,Moderate
24,0,29,90,99,61,High
25,0,29,90,55,62,Moderate
20,1,22,90,92,46,High
22,1,22,90,69,55,Moderate
19,1,22,90,98,75,High
25,1,22,90,92,52,High
25,0,23,94,84,63,High
24,1,28,74,94,78,High
27,1,28,74,85,91,High
18,1,28,74,94,45,High
22,0,19,63,55,67,Moderate
27,0,19,63,70,44,Moderate
27,0,19,63,54,86,Moderate
23,0,19,63,65,54,Moderate
22,1,16,93,64,40,Moderate
28,0,31,67,83,61,High
28,1,11,87,82,86,High
21,1,11,87,100,50,High
23,1,21,81,64,98,Moderate
28,1,21,81,95,82,High
21,1,21,81,74,84,Moderate
24,0,16,68,61,60,Moderate
21,0,9,80,75,78,Moderate
26,0,9,80,100,81,High
29,0,9,80,71,93,Moderate
21,0,5,92,54,44,Moderate
21,0,10,92,76,56,Moderate
21,1,25,83,93,56,High
24,0,25,91,92,88,High
21,0,25,91,59,67,Moderate
28,0,25,91,66,62,Moderate
23,1,23,68,77,95,Moderate
24,0,29,88,59,54,Moderate
29,1,25,76,73,90,Moderate
29,0,8,72,72,85,Moderate
23,0,8,72,68,54,Moderate
28,0,8,72,60,43,Moderate
21,0,8,72,90,79,High
25,0,8,72,81,98,High
22,1,19,83,66,86,Moderate
23,1,19,83,91,78,High
27,0,18,95,76,94,Moderate
19,0,18,95,63,51,Moderate
29,0,18,95,66,53,Moderate
18,1,31,96,73,77,Moderate
26,1,31,96,59,69,Moderate
26,0,28,98,87,64,High
18,0,26,100,84,80,High
19,0,26,100,97,45,High
29,0,20,69,99,57,High
20,0,20,69,65,41,Moderate
25,1,16,89,52,89,Moderate
18,1,16,89,82,42,High
21,1,16,89,83,69,High
22,1,22,60,69,88,Moderate
28,1,25,60,83,76,High
20,1,16,72,79,88,Moderate
19,1,16,72,82,73,High
28,1,16,72,67,56,Moderate
23,1,16,72,85,52,High
21,1,30,67,70,96,Moderate
18,1,30,67,75,87,Moderate
24,1,30,67,65,77,Moderate
23,1,30,67,50,75,Moderate
24,1,30,67,88,69,High
21,0,16,69,77,85,Moderate
22,0,23,66,67,43,Moderate
28,0,23,66,67,58,Moderate
23,1,33,64,82,100,High
25,0,30,79,64,69,Moderate
19,0,30,79,65,84,Moderate
28,1,23,63,96,44,High
19,1,24,81,58,83,Moderate
25,1,24,81,64,62,Moderate
28,1,24,81,98,55,High
29,0,18,97,72,73,Moderate
25,0,18,97,75,53,Moderate
28,1,10,82,57,69,Moderate
28,1,10,82,66,76,Moderate
27,0,29,91,66,75,Moderate
22,1,13,71,56,96,Moderate
29,1,13,71,57,51,Moderate
28,1,26,93,98,90,High
18,1,26,93,79,94,Moderate
22,0,30,93,73,99,Moderate
21,1,25,72,73,57,Moderate
19,1,25,72,81,56,High
19,1,11,69,76,97,Moderate
23,0,29,60,99,68,High
21,0,29,60,55,42,Moderate
22,0,23,70,87,44,High
28,0,23,70,72,90,Moderate
23,0,22,75,89,89,High
18,0,16,62,56,52,Moderate
21,0,16,62,63,56,Moderate
27,0,20,99,62,90,Moderate
27,0,20,99,61,97,Moderate
26,0,27,89,74,96,Moderate
21,0,27,89,97,51,High
24,0,23,73,96,86,High
21,0,23,73,96,82,High
23,0,23,73,58,93,Moderate
27,0,23,73,92,65,High
27,0,25,78,86,68,High
26,0,25,78,86,74,High
24,1,27,95,99,95,High
29,1,27,95,62,58,Moderate
22,1,27,95,77,84,Moderate
22,1,27,95,66,72,Moderate
21,1,20,87,57,52,Moderate
18,1,12,79,69,83,Moderate
22,1,12,79,94,50,High
21,0,11,97,75,62,Moderate
25,0,11,97,52,83,Moderate
19,0,11,97,85,73,High
29,0,11,97,62,80,Moderate
23,1,29,80,52,51,Moderate
29,1,29,80,69,89,Moderate
27,0,18,88,89,90,High
24,0,18,88,96,45,High
18,1,23,93,56,66,Moderate
24,0,26,99,65,68,Moderate
29,0,26,99,93,77,High
25,0,21,95,53,90,Moderate
21,0,21,95,60,88,Moderate
25,0,18,71,83,56,High
20,0,18,71,67,54,Moderate
27,0,20,64,82,45,High
20,0,24,85,95,47,High
23,0,24,85,100,64,High
19,0,20,85,89,95,High
20,0,20,85,84,42,High
29,0,8,67,68,55,Moderate
29,0,8,67,72,44,Moderate
21,0,25,64,87,46,High
18,0,25,64,94,84,High
18,0,25,64,85,63,High
26,0,25,64,98,88,High
23,0,25,64,58,55,Moderate
28,0,25,64,60,99,Moderate
21,0,25,64,71,40,Moderate
20,0,33,74,87,52,High
24,1,24,80,98,50,High
22,1,24,80,51,43,Moderate
27,1,24,80,96,59,High
28,1,24,80,71,96,Moderate
28,1,24,80,88,84,High
21,0,14,77,68,92,Moderate
20,0,14,77,77,97,Moderate
18,0,14,77,67,69,Moderate
23,1,16,98,79,59,Moderate
28,1,16,98,63,43,Moderate
18,1,16,98,73,80,Moderate
24,1,16,98,65,67,Moderate
27,1,16,98,84,99,High
29,1,31,69,55,85,Moderate
20,1,31,69,98,64,High
18,0,19,81,85,57,High
20,0,19,81,76,74,Moderate
29,1,21,89,86,40,High
23,1,23,97,86,77,High
29,1,23,97,55,76,Moderate
20,1,23,97,60,99,Moderate
18,1,21,75,100,55,High
25,1,21,75,56,56,Moderate
25,1,21,75,86,56,High
20,1,21,75,69,49,Moderate
19,1,21,75,50,90,Moderate
26,0,34,64,85,74,High
25,0,21,72,94,61,High
23,0,21,72,84,89,High
27,0,26,66,66,47,Moderate
24,0,26,66,57,88,Moderate
22,0,26,66,90,83,High
26,1,27,82,55,88,Moderate
27,1,27,82,69,44,Moderate
27,1,27,82,73,47,Moderate
19,1,27,82,62,56,Moderate
21,1,27,81,95,99,High
18,1,27,81,59,98,Moderate
25,1,27,81,89,94,High
25,0,13,88,95,82,High
18,0,30,85,76,83,Moderate
29,0,30,85,57,72,Moderate
28,0,30,85,72,73,Moderate
28,0,30,85,99,92,High
19,0,30,85,53,52,Moderate
19,1,13,68,78,60,Moderate
25,1,13,68,88,54,High
27,1,13,68,93,90,High
21,1,30,98,60,44,Moderate
22,0,23,87,62,66,Moderate
22,0,23,87,81,53,High
19,0,26,78,53,73,Moderate
18,0,26,78,65,48,Moderate
20,0,26,78,59,71,Moderate
25,0,26,78,78,66,Moderate
28,1,27,96,89,46,High
21,1,13,64,72,92,Moderate
21,0,18,63,85,87,High
27,0,18,63,93,54,High
21,0,28,97,98,71,High
19,1,19,75,57,45,Moderate
28,1,19,75,57,48,Moderate
22,0,20,78,93,67,High
21,0,20,78,51,57,Moderate
19,0,20,78,51,88,Moderate
27,0,13,85,75,82,Moderate
28,0,13,85,75,53,Moderate
27,1,30,61,75,63,Moderate
26,0,14,67,89,73,High
19,0,14,67,91,77,High
29,0,14,67,78,77,Moderate
21,0,14,67,75,86,Moderate
29,0,14,67,78,82,Moderate
26,1,7,74,61,52,Moderate
18,0,16,74,72,93,Moderate
21,0,16,74,59,46,Moderate
26,0,12,79,50,67,Moderate
29,1,30,73,64,94,Moderate
25,1,30,73,65,91,Moderate
27,1,30,73,65,79,Moderate
28,1,30,73,74,89,Moderate
22,1,30,73,89,73,High
28,1,26,64,52,87,Moderate
27,1,26,64,53,84,Moderate
29,1,16,66,57,70,Moderate
26,1,16,66,82,81,High
25,1,16,66,66,64,Moderate
28,1,34,61,97,80,High
20,1,34,61,53,60,Moderate
